title,author
"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela  Chen
Take My Hand,Dolen Perkins-Valdez
She Gets the Girl,Rachael Lippincott
Wilmington's Lie: The Murderous Coup of 1898 and the Rise of White Supremacy,David Zucchino
Check & Mate,Ali Hazelwood
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health",Robert F. Kennedy Jr.
Wish You Were Here,Jodi Picoult
"The Creation of Me, Them and Us",Heather  Marsh
The Forest of Vanishing Stars,Kristin Harmel
The Fortunes of Jaded Women,Carolyn Huynh
Home Body,Rupi Kaur
"A Magic Steeped in Poison (The Book of Tea, #1)",Judy I. Lin
Mad Honey,Jodi Picoult
Just as I Am,Cicely Tyson
Em,Kim Thúy
How High We Go in the Dark,Sequoia Nagamatsu
"The Golden Enclaves (The Scholomance, #3)",Naomi Novik
Cinderella Is Dead,Kalynn  Bayron
The Last Thing He Told Me,Laura Dave
"Murder on Cold Street (Lady Sherlock, #5)",Sherry Thomas
North Woods,Daniel       Mason
Instructions for Dancing,Nicola Yoon
"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan
"This Poison Heart (This Poison Heart, #1)",Kalynn  Bayron
The ABCs of Black History,Rio Cortez
"Well Matched (Well Met, #3)",Jen DeLuca
The Wife Stalker,Liv Constantine
The Familiar Dark,Amy Engel
The Dawn of Everything: A New History of Humanity,David Graeber
The Ferryman,Justin Cronin
"Glint (The Plated Prisoner, #2)",Raven Kennedy
Let Us Descend,Jesmyn Ward
Snapdragon,Kat Leyh
Breath: The New Science of a Lost Art,James Nestor
Our Woman in Moscow,Beatriz Williams
"Fevered Star (Between Earth and Sky, #2)",Rebecca Roanhorse
"Winterkeep (Graceling Realm, #4)",Kristin Cashore
Flamer,Mike Curato
"Poverty, by America",Matthew Desmond
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann
The Family,Naomi Krupitsky
The Girl Who Fell Beneath the Sea,Axie Oh
The Other Mrs.,Mary Kubica
Light from Uncommon Stars,Ryka Aoki
"Lore Olympus: Volume Three (Lore Olympus, #3)",Rachel  Smythe
Minor Feelings: An Asian American Reckoning,Cathy Park Hong
"System Collapse (The Murderbot Diaries, #7)",Martha Wells
The Black Cabinet: The Untold Story of African Americans and Politics During the Age of Roosevelt,Jill  Watts
Unmasked: My Life Solving America's Cold Cases,Paul Holes
Violeta,Isabel Allende
"Last Memoria (Memoria Duology, #1)",Rachel Emma Shaw
"Abandoned in Death (In Death, #54)",J.D. Robb
The Witch King (Witch King #1),H.E. Edgmon
The Civil War of Amos Abernathy,Michael Leali
The Ice Cream Man and Other Stories,Sam Pink
The Dominant Animal,Kathryn Scanlan
"The Bard's Blade (The Sorcerer's Song, #1)",Brian D. Anderson
A Girl Like Me,Angela           Johnson
"A Million Kisses in Your Lifetime (Lancaster Prep, #2)",Monica  Murphy
The Silence,Daisy Pearce
A Kind of Spark,Elle McNicoll
Every Last Fear,Alex Finlay
A Day Like This,Kelley McNeil
Shrines of Gaiety,Kate Atkinson
Followers,Megan Angelo
Safe No Longer,Gayle Curtis
Open Book,Jessica Simpson
Calling for a Blanket Dance,Oscar Hokeah
Glory,NoViolet Bulawayo
The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Max Fisher
The River We Remember,William Kent Krueger
Buses Are a Comin': Memoir of a Freedom Rider,Charles Person
Letters to My Weird Sisters: On Autism and Feminism,Joanne Limburg
The Hotel Nantucket,Elin Hilderbrand
Godshot,Chelsea Bieker
How to Become a Planet,Nicole Melleby
A History of Wild Places,Shea Ernshaw
Yearbook,Seth Rogen
Bad Cree,Jessica Johns
Bride,Ali Hazelwood
Black Sunday,Tola Rotimi Abraham
Kent State,Deborah Wiles
The Sweeney Sisters,Lian Dolan
Upgrade,Blake Crouch
Jeg foreslår at vi våkner,Beate Grimsrud
"Magic Claims (Kate Daniels: Wilmington Years, #2; Kate Daniels, #10.6)",Ilona Andrews
The Passing Playbook,Isaac Fitzsimons
In the Lives of Puppets,T.J. Klune
"On Vanishing: Mortality, Dementia, and What It Means to Disappear",Lynn Casteel Harper
Everything Sad Is Untrue,Daniel Nayeri
Heroin chic,Maria Kjos Fonn
The Office of Historical Corrections: A Novella and Stories,Danielle  Evans
"White Cat, Black Dog: Stories",Kelly Link
Memorial Drive: A Daughter's Memoir,Natasha Trethewey
"Defiant (Skyward, #4)",Brandon Sanderson
"Exiles (Aaron Falk, #3)",Jane Harper
The Gravity of Missing Things,Marisa  Urgo
"Rosaline Palmer Takes the Cake (Winner Bakes All, #1)",Alexis  Hall
"Magic Tides (Kate Daniels: Wilmington Years, #1; Kate Daniels, #10.5)",Ilona Andrews
"Walk the Wire (Amos Decker, #6; Will Robie, #5.5)",David Baldacci
Boy Parts,Eliza  Clark
Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.
Run Towards the Danger: Confrontations with a Body of Memory,Sarah Polley
When Women Were Dragons,Kelly Barnhill
The 23rd Midnight (Women's Murder Club #23),James Patterson
Stone Blind,Natalie Haynes
Prosper's Demon,K.J. Parker
The Life That Mattered (Roe & Evie #1; Life #1),Jewel E. Ann
Ridgeline,Michael Punke
The Prophets,Robert Jones Jr.
"Sweep of the Heart (Innkeeper Chronicles, #5)",Ilona Andrews
XOXO,Axie Oh
The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,Heather  McGhee
"A Map Is Only One Story: Twenty Writers on Immigration, Family, and the Meaning of Home",Nicole Chung
Ariadne,Jennifer Saint
The Sandman: Act I,Dirk Maggs
"ReDawn (Skyward, #2.2)",Brandon Sanderson
Running Against the Devil: A Plot to Save America from Trump — And Democrats from Themselves,Rick    Wilson
"Sharpe's Assassin (Sharpe, #21)",Bernard Cornwell
"The Jasmine Throne (The Burning Kingdoms, #1)",Tasha Suri
"Ruby Fever (Hidden Legacy, #6)",Ilona Andrews
Broken,Jenny  Lawson
Afterlives,Abdulrazak Gurnah
One Italian Summer,Rebecca Serle
"The War of Two Queens (Blood and Ash, #4)",Jennifer L. Armentrout
Tiger Mosquitoes: A Medical Crime Thriller,Kenneth J. Stein
"Written in the Stars (Written in the Stars, #1)",Alexandria Bellefleur
"Triple Cross (Alex Cross, #30)",James Patterson
"The Book Woman's Daughter (The Book Woman of Troublesome Creek, #2)",Kim Michele Richardson
